project_id,mp_id,constituency,state,district,category,description,sanctioned_amount,expenditure,unit_cost_basis,status,recommendation_date,sanction_date,implementing_agency,marked_complete_by_ia,contractor_id,site_latitude,site_longitude,photo_latitude,photo_longitude,is_seeded_anomalous,seeded_anomaly_types
PRJ00001,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 9",543267.12,521427.29,543267.12,Work In Progress,2026-04-08,2026-04-27,District Rural Development Agency,False,CTR0044,19.81839,75.287222,19.81839,75.287222,False,
PRJ00002,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 16",1059484.95,1013091.05,1059484.95,Completed,2024-10-03,2024-11-02,Public Works Department (PWD),True,CTR0015,19.124701,76.263892,19.124701,76.263892,False,
PRJ00003,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 5",1753703.45,1628688.01,1753703.45,Completed,2025-04-02,2025-04-27,District Rural Development Agency,True,CTR0074,19.618334,75.449475,19.618334,75.449475,False,
PRJ00004,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Borewell / Handpump,"Borewell / Handpump at Maharashtra District 2, Ward 3",178917.7,173152.32,178917.7,Completed,2025-04-25,2025-05-13,Zilla Parishad PWD Division,True,CTR0104,19.339609,75.717081,19.339609,75.717081,False,
PRJ00005,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 20",277893.09,253495.14,277893.09,Completed,2026-04-07,2026-06-12,Public Works Department (PWD),True,CTR0016,20.070077,75.465537,20.06863,75.325854,True,phantom_work
PRJ00006,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Library / Reading Room,"Library / Reading Room at Maharashtra District 2, Ward 13",536413.98,481032.81,536413.98,Payment Released,2026-01-07,2026-04-04,Panchayati Raj Engineering Department,False,CTR0102,19.724082,75.756052,19.724082,75.756052,False,
PRJ00007,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 14",963889.46,948683.24,963889.46,Sanctioned,2026-05-22,2026-06-20,Panchayati Raj Engineering Department,False,CTR0117,19.81748,76.206249,19.81748,76.206249,False,
PRJ00008,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 24",281409.12,255604.35,281409.12,Payment Released,2025-10-12,2025-11-17,Panchayati Raj Engineering Department,False,CTR0073,19.425619,76.094485,19.425619,76.094485,False,
PRJ00009,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 9",3622019.63,3514552.67,3622019.63,Payment Released,2024-11-21,2024-12-20,Municipal Corporation Engineering Cell,False,CTR0098,19.189461,76.284264,19.189461,76.284264,False,
PRJ00010,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 3",828715.01,792275.25,828715.01,Sanctioned,2026-05-21,2026-07-01,Panchayati Raj Engineering Department,False,CTR0021,19.974809,76.025524,19.974809,76.025524,False,
PRJ00011,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Borewell / Handpump,"Borewell / Handpump at Maharashtra District 2, Ward 20",111284.65,104996.48,111284.65,Work In Progress,2025-11-15,2025-12-24,Cantonment Board Works Wing,False,CTR0001,19.497078,75.17627,19.497078,75.17627,False,
PRJ00012,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 23",916086.49,900588.05,916086.49,Work In Progress,2024-11-25,2025-02-05,Zilla Parishad PWD Division,False,CTR0038,19.666658,75.243513,19.666658,75.243513,False,
PRJ00013,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 22",1210298.96,1118400.16,1210298.96,Work In Progress,2026-07-17,2026-08-09,District Rural Development Agency,False,CTR0090,19.727279,75.613049,19.727279,75.613049,False,
PRJ00014,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 19",173571.89,155720.61,173571.89,Work In Progress,2025-12-28,2026-02-11,Cantonment Board Works Wing,False,CTR0119,19.710285,76.18908,19.710285,76.18908,False,
PRJ00015,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 21",716663.35,617439.15,716663.35,Work In Progress,2024-06-02,2024-08-16,Municipal Corporation Engineering Cell,False,CTR0055,19.447702,75.293466,19.447702,75.293466,False,
PRJ00016,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Borewell / Handpump,"Borewell / Handpump at Maharashtra District 2, Ward 3",251019.01,243626.71,251019.01,Payment Released,2025-04-10,2025-06-24,Municipal Corporation Engineering Cell,False,CTR0117,19.323884,76.171071,19.323884,76.171071,False,
PRJ00017,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 24",4063583.46,3521126.72,4063583.46,Completed,2024-08-26,2024-11-13,Panchayati Raj Engineering Department,False,CTR0022,19.373522,75.612529,19.373522,75.612529,False,
PRJ00018,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Library / Reading Room,"Library / Reading Room at Maharashtra District 2, Ward 15",863971.49,763159.99,863971.49,Payment Released,2024-06-27,2024-08-05,District Rural Development Agency,False,CTR0118,19.243838,75.505138,19.243838,75.505138,False,
PRJ00019,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 17",1133823.12,1025593.4,1133823.12,Work In Progress,2025-12-19,2026-02-09,Zilla Parishad PWD Division,False,CTR0090,20.266138,76.254937,20.266138,76.254937,False,
PRJ00020,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Sports Infrastructure,"Sports Infrastructure at Maharashtra District 2, Ward 2",1332722.76,1140188.36,1332722.76,Sanctioned,2026-06-14,2026-07-19,Panchayati Raj Engineering Department,False,CTR0064,19.831477,75.703215,19.831477,75.703215,False,
PRJ00021,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Drinking Water Supply,"Drinking Water Supply at Maharashtra District 2, Ward 1",2298184.95,2003406.49,2298184.95,Work In Progress,2025-12-14,2026-02-17,Zilla Parishad PWD Division,False,CTR0095,19.687343,76.282781,19.687343,76.282781,False,
